producto_id,nombre,precio,descuento,categoria,subcategoria,color,talla
79,Bota Formal con Detalles Brogue Y Conratse de Texturas 38556,289900.0,0.0,HOMBRE,"Zapatos, Botas",Negro,42
80,Gorra Beisbolera Aplique para Hombre 12426,35900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Verde Pino,UNICA
81,Camisilla Cuello Redondo para Hombre 12352,24900.0,0.0,HOMBRE,"Ropa, Ropa Interior, Camisillas","Negro, Blanco",L
82,Traje Colección Especial Silueta Semi Slim Fit para Hombre 36454,999900.0,0.0,HOMBRE,"Ropa, Trajes",Azul Prusia,42
83,Gorra Combinada Malla para Hombre 36198,49900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Blanco,UNICA
84,Camiseta Básica para Hombre 29845,33915.0,-15.0,HOMBRE,"Ropa, Camisetas","Negro, Azul Prusia, Blanco",L
85,Gorra de Malla para Hombre 13402,39900.0,0.0,HOMBRE,"Accesorios, Gorras, Gorros y Boinas",Verde Oscuro,UNICA
86,Pantalón para Hombre en Mezclas Lino 02502,350000.0,0.0,HOMBRE,"Pantalones, Pantalones Lino, Ropa",Turquesa,40
88,Chaqueta con Cuello Alto Cremallera Frontal Y Bolsillos 35803,319900.0,0.0,HOMBRE,"Ropa, Chaquetas",Taupe,L
89,Tenis en Gamuza de Colores con Suela de Caja 36502,254900.0,0.0,HOMBRE,"Tenis, Zapatos","Mostaza, Gris, Verde Pino",42
90,Abrigo Business para Hombre 36277,719900.0,0.0,HOMBRE,"Ropa, Blazers",Gris,L
91,Correa Casual en Cuero para Hombre 35663,76900.0,0.0,HOMBRE,"Accesorios, Correas, Cinturones y Correas",Café,42
92,Chaqueta Unicolor Deportiva para Hombre 12467,99900.0,0.0,HOMBRE,"Ropa, Chaquetas","Negro, Azul Prusia, Blanco",M
93,Camiseta Deportiva para Hombre 12218,29665.0,-15.0,HOMBRE,"Ropa, Camisetas","Negro, Navy",L
94,Suéter Cuello Redondo Unicolor para Hombre 20015,114900.0,0.0,HOMBRE,"Ropa, Suéteres y Cardigans","Gris Oscuro, Negro, Azul Prusia",L
95,Mocasín Formal en Cuero para Hombre 35427,254900.0,0.0,HOMBRE,"Mocasines, Zapatos","Negro, Ganache",42
96,Chaqueta Cuello Alto para Hombre 36400,319900.0,0.0,HOMBRE,"Ropa, Chaquetas",Negro,M
97,Camisa Smoking para Hombre 36745,134900.0,0.0,HOMBRE,"Camisas, Ropa, Camisas Formales",Blanco,42
99,Traje Colección Especial Diseño Cuadros Semi Slim Fit para Hombre 32024,662925.0,-25.0,HOMBRE,"Ropa, Trajes",Negro,42
100,Camisa Casual Textura Manga Larga para Hombre 09622,59900.0,0.0,HOMBRE,"Camisas, Camisas Casuales, Ropa",Gris Carbón,L
